StringID   Type       x          y          demand     ReadyTime  DueDate    ServiceTime 
D0         d          40.0       50.0       0.0        0.0        1236.0     0.0       
S0         f          40.0       50.0       0.0        0.0        1236.0     0.0       
S1         f          49.0       57.0       0.0        0.0        1236.0     0.0       
S2         f          5.0        37.0       0.0        0.0        1236.0     0.0       
S3         f          65.0       66.0       0.0        0.0        1236.0     0.0       
S4         f          51.0       42.0       0.0        0.0        1236.0     0.0       
S5         f          61.0       49.0       0.0        0.0        1236.0     0.0       
S6         f          74.0       31.0       0.0        0.0        1236.0     0.0       
S7         f          64.0       21.0       0.0        0.0        1236.0     0.0       
S8         f          36.0       21.0       0.0        0.0        1236.0     0.0       
S9         f          12.0       83.0       0.0        0.0        1236.0     0.0       
S10        f          32.0       72.0       0.0        0.0        1236.0     0.0       
S11        f          90.0       81.0       0.0        0.0        1236.0     0.0       
S12        f          18.0       43.0       0.0        0.0        1236.0     0.0       
S13        f          12.0       13.0       0.0        0.0        1236.0     0.0       
S14        f          87.0       46.0       0.0        0.0        1236.0     0.0       
S15        f          60.0       75.0       0.0        0.0        1236.0     0.0       
S16        f          12.0       49.0       0.0        0.0        1236.0     0.0       
S17        f          55.0       44.0       0.0        0.0        1236.0     0.0       
S18        f          78.0       85.0       0.0        0.0        1236.0     0.0       
S19        f          26.0       74.0       0.0        0.0        1236.0     0.0       
S20        f          61.0       60.0       0.0        0.0        1236.0     0.0       
C1         c          24.0       83.0       10.0       912.0      967.0      90.0      
C2         c          29.0       84.0       30.0       825.0      870.0      90.0      
C3         c          45.0       72.0       10.0       65.0       146.0      90.0      
C4         c          35.0       77.0       10.0       727.0      782.0      90.0      
C5         c          36.0       70.0       10.0       15.0       67.0       90.0      
C6         c          32.0       78.0       20.0       621.0      702.0      90.0      
C7         c          34.0       74.0       20.0       170.0      225.0      90.0      
C8         c          19.0       80.0       20.0       255.0      324.0      90.0      
C9         c          35.0       79.0       10.0       534.0      605.0      90.0      
C10        c          32.0       75.0       10.0       357.0      410.0      90.0      
C11        c          43.0       68.0       10.0       448.0      505.0      90.0      
C12        c          32.0       74.0       20.0       652.0      721.0      90.0      
C13        c          44.0       61.0       30.0       30.0       92.0       90.0      
C14        c          5.0        91.0       10.0       567.0      620.0      90.0      
C15        c          0.0        89.0       40.0       384.0      429.0      90.0      
C16        c          25.0       76.0       40.0       475.0      528.0      90.0      
C17        c          26.0       84.0       20.0       99.0       148.0      90.0      
C18        c          43.0       67.0       20.0       179.0      254.0      90.0      
C19        c          36.0       76.0       10.0       278.0      345.0      90.0      
C20        c          24.0       49.0       10.0       10.0       73.0       90.0      
C21        c          21.0       49.0       20.0       914.0      965.0      90.0      
C22        c          31.0       50.0       20.0       812.0      883.0      90.0      
C23        c          29.0       54.0       10.0       732.0      777.0      90.0      
C24        c          18.0       48.0       10.0       65.0       144.0      90.0      
C25        c          20.0       51.0       40.0       169.0      224.0      90.0      
C26        c          23.0       51.0       10.0       622.0      701.0      90.0      
C27        c          27.0       52.0       10.0       261.0      316.0      90.0      
C28        c          29.0       52.0       20.0       546.0      593.0      90.0      
C29        c          26.0       52.0       10.0       358.0      405.0      90.0      
C30        c          27.0       51.0       10.0       449.0      504.0      90.0      
C31        c          8.0        41.0       20.0       200.0      237.0      90.0      
