StringID   Type       x          y          demand     ReadyTime  DueDate    ServiceTime 
D0         d          40.0       50.0       0.0        0.0        240.0      0.0       
S0         f          40.0       50.0       0.0        0.0        240.0      0.0       
S1         f          49.0       54.0       0.0        0.0        240.0      0.0       
S2         f          5.0        34.0       0.0        0.0        240.0      0.0       
S3         f          65.0       63.0       0.0        0.0        240.0      0.0       
S4         f          51.0       39.0       0.0        0.0        240.0      0.0       
S5         f          61.0       46.0       0.0        0.0        240.0      0.0       
S6         f          74.0       28.0       0.0        0.0        240.0      0.0       
S7         f          64.0       18.0       0.0        0.0        240.0      0.0       
S8         f          36.0       18.0       0.0        0.0        240.0      0.0       
S9         f          96.0       13.0       0.0        0.0        240.0      0.0       
S10        f          79.0       33.0       0.0        0.0        240.0      0.0       
S11        f          68.0       91.0       0.0        0.0        240.0      0.0       
S12        f          77.0       19.0       0.0        0.0        240.0      0.0       
S13        f          39.0       13.0       0.0        0.0        240.0      0.0       
S14        f          93.0       10.0       0.0        0.0        240.0      0.0       
S15        f          87.0       43.0       0.0        0.0        240.0      0.0       
S16        f          60.0       72.0       0.0        0.0        240.0      0.0       
S17        f          12.0       46.0       0.0        0.0        240.0      0.0       
S18        f          55.0       41.0       0.0        0.0        240.0      0.0       
S19        f          78.0       82.0       0.0        0.0        240.0      0.0       
S20        f          26.0       71.0       0.0        0.0        240.0      0.0       
C1         c          96.0       34.0       20.0       145.0      175.0      10.0      
C2         c          82.0       26.0       30.0       50.0       80.0       10.0      
C3         c          100.0      31.0       10.0       109.0      139.0      10.0      
C4         c          84.0       38.0       40.0       141.0      171.0      10.0      
C5         c          79.0       32.0       20.0       41.0       71.0       10.0      
C6         c          87.0       25.0       20.0       95.0       125.0      10.0      
C7         c          83.0       35.0       20.0       79.0       109.0      10.0      
C8         c          100.0      38.0       10.0       91.0       121.0      10.0      
C9         c          82.0       32.0       20.0       91.0       121.0      10.0      
C10        c          91.0       32.0       30.0       119.0      149.0      10.0      
C11        c          50.0       18.0       40.0       59.0       89.0       10.0      
C12        c          42.0       11.0       20.0       64.0       94.0       10.0      
C13        c          46.0       13.0       10.0       142.0      172.0      10.0      
C14        c          29.0       10.0       10.0       35.0       65.0       10.0      
C15        c          53.0       21.0       20.0       58.0       88.0       10.0      
C16        c          51.0       26.0       20.0       72.0       102.0      10.0      
C17        c          35.0       6.0        20.0       149.0      179.0      10.0      
C18        c          28.0       12.0       20.0       87.0       117.0      10.0      
C19        c          40.0       2.0        40.0       72.0       102.0      10.0      
C20        c          52.0       13.0       10.0       122.0      152.0      10.0      
C21        c          55.0       18.0       10.0       67.0       97.0       10.0      
C22        c          45.0       2.0        40.0       92.0       122.0      10.0      
C23        c          14.0       22.0       30.0       65.0       95.0       10.0      
C24        c          5.0        41.0       10.0       148.0      178.0      10.0      
C25        c          21.0       35.0       20.0       154.0      184.0      10.0      
C26        c          9.0        33.0       30.0       115.0      145.0      10.0      
C27        c          15.0       37.0       20.0       62.0       92.0       10.0      
C28        c          18.0       42.0       10.0       62.0       92.0       10.0      
C29        c          18.0       25.0       10.0       67.0       97.0       10.0      
C30        c          2.0        39.0       10.0       74.0       104.0      10.0      
C31        c          14.0       47.0       20.0       61.0       91.0       10.0      
C32        c          0.0        41.0       10.0       131.0      161.0      10.0      
C33        c          24.0       39.0       10.0       51.0       81.0       10.0      
C34        c          2.0        32.0       30.0       111.0      141.0      10.0      
C35        c          35.0       38.0       20.0       139.0      169.0      10.0      
C36        c          8.0        49.0       40.0       43.0       73.0       10.0      
C37        c          0.0        39.0       10.0       124.0      154.0      10.0      
C38        c          16.0       36.0       30.0       75.0       105.0      10.0      
C39        c          40.0       87.0       10.0       37.0       67.0       10.0      
C40        c          44.0       77.0       30.0       85.0       115.0      10.0      
C41        c          28.0       74.0       20.0       92.0       122.0      10.0      
C42        c          39.0       89.0       10.0       33.0       63.0       10.0      
C43        c          46.0       87.0       20.0       128.0      158.0      10.0      
C44        c          57.0       82.0       10.0       64.0       94.0       10.0      
C45        c          64.0       87.0       10.0       37.0       67.0       10.0      
C46        c          55.0       86.0       10.0       113.0      143.0      10.0      
C47        c          75.0       89.0       10.0       45.0       75.0       10.0      
C48        c          31.0       57.0       10.0       151.0      181.0      10.0      
C49        c          40.0       30.0       10.0       104.0      134.0      10.0      
C50        c          43.0       35.0       30.0       116.0      146.0      10.0      
C51        c          53.0       51.0       19.0       83.0       113.0      10.0      
C52        c          51.0       32.0       3.0        52.0       82.0       10.0      
C53        c          37.0       54.0       5.0        91.0       121.0      10.0      
C54        c          51.0       44.0       16.0       139.0      169.0      10.0      
C55        c          62.0       33.0       16.0       140.0      170.0      10.0      
C56        c          53.0       28.0       19.0       130.0      160.0      10.0      
C57        c          47.0       58.0       23.0       96.0       126.0      10.0      
C58        c          45.0       51.0       20.0       152.0      182.0      10.0      
C59        c          66.0       41.0       19.0       42.0       72.0       10.0      
C60        c          47.0       49.0       17.0       155.0      185.0      10.0      
C61        c          49.0       46.0       9.0        66.0       96.0       10.0      
C62        c          63.0       35.0       3.0        52.0       82.0       10.0      
C63        c          53.0       38.0       6.0        39.0       69.0       10.0      
C64        c          50.0       59.0       17.0       53.0       83.0       10.0      
C65        c          36.0       46.0       16.0       11.0       41.0       10.0      
C66        c          43.0       69.0       16.0       133.0      163.0      10.0      
C67        c          49.0       52.0       9.0        70.0       100.0      10.0      
C68        c          12.0       94.0       21.0       144.0      174.0      10.0      
C69        c          65.0       94.0       27.0       41.0       71.0       10.0      
C70        c          82.0       39.0       23.0       180.0      210.0      10.0      
C71        c          71.0       76.0       14.0       65.0       95.0       10.0      
C72        c          95.0       68.0       8.0        30.0       60.0       10.0      
C73        c          23.0       12.0       5.0        77.0       107.0      10.0      
C74        c          1.0        1.0        8.0        141.0      171.0      10.0      
C75        c          46.0       59.0       16.0       74.0       104.0      10.0      
C76        c          98.0       67.0       31.0       75.0       105.0      10.0      
C77        c          55.0       80.0       7.0        150.0      180.0      10.0      
C78        c          79.0       26.0       27.0       90.0       120.0      10.0      
C79        c          96.0       91.0       30.0       89.0       119.0      10.0      
