StringID   Type       x          y          demand     ReadyTime  DueDate    ServiceTime 
D0        d         40.0      50.0      0.0       0.0       1236.0    0.0       
S1        f         73.0      52.0      0.0       0.0       1236.0    0.0       
C1        c         45.0      68.0      10.0      78.0      140.0     90.0      
C2        c         45.0      70.0      30.0      499.0     553.0     90.0      
C4        c         42.0      68.0      10.0      584.0     656.0     90.0      
S5        f         32.0      80.0      0.0       0.0       1236.0    0.0       
S6        f         39.0      96.0      0.0       0.0       1236.0    0.0       
C6        c         40.0      69.0      20.0      683.0     741.0     90.0      
S8        f         4.0       83.0      0.0       0.0       1236.0    0.0       
S9        f         18.0      58.0      0.0       0.0       1236.0    0.0       
C9        c         38.0      70.0      10.0      958.0     1040.0    90.0      
S13       f         26.0      37.0      0.0       0.0       1236.0    0.0       
S15       f         39.0      31.0      0.0       0.0       1236.0    0.0       
C15       c         20.0      80.0      40.0      745.0     789.0     90.0      
S17       f         59.0      17.0      0.0       0.0       1236.0    0.0       
S18       f         73.0      23.0      0.0       0.0       1236.0    0.0       
S19       f         74.0      32.0      0.0       0.0       1236.0    0.0       
C20       c         30.0      50.0      10.0      10.0      70.0      90.0      
C21       c         30.0      52.0      20.0      11.0      73.0      90.0      
C23       c         28.0      55.0      10.0      13.0      70.0      90.0      
C24       c         25.0      50.0      10.0      72.0      138.0     90.0      
C25       c         25.0      52.0      40.0      158.0     232.0     90.0      
C27       c         23.0      52.0      10.0      263.0     311.0     90.0      
C30       c         20.0      55.0      10.0      355.0     407.0     90.0      
C31       c         10.0      35.0      20.0      467.0     517.0     90.0      
C33       c         8.0       40.0      40.0      355.0     437.0     90.0      
C36       c         5.0       45.0      10.0      278.0     346.0     90.0      
C39       c         0.0       45.0      20.0      374.0     440.0     90.0      
C40       c         35.0      30.0      10.0      143.0     199.0     90.0      
C50       c         26.0      32.0      10.0      923.0     975.0     90.0      
C56       c         40.0      5.0       30.0      350.0     410.0     90.0      
C59       c         38.0      15.0      10.0      66.0      124.0     90.0      
C60       c         35.0      5.0       20.0      167.0     223.0     90.0      
C61       c         50.0      30.0      10.0      980.0     1064.0    90.0      
C64       c         48.0      30.0      10.0      263.0     325.0     90.0      
C67       c         47.0      40.0      10.0      13.0      88.0      90.0      
C68       c         45.0      30.0      10.0      354.0     420.0     90.0      
C71       c         95.0      35.0      20.0      481.0     543.0     90.0      
C72       c         53.0      30.0      10.0      904.0     954.0     90.0      
C73       c         92.0      30.0      10.0      287.0     361.0     90.0      
C75       c         45.0      65.0      20.0      16.0      91.0      90.0      
C76       c         90.0      35.0      10.0      575.0     639.0     90.0      
C83       c         72.0      55.0      10.0      556.0     618.0     90.0      
C87       c         65.0      55.0      20.0      87.0      145.0     90.0      
C89       c         63.0      58.0      10.0      929.0     989.0     90.0      
C90       c         60.0      55.0      10.0      21.0      84.0      90.0      
C93       c         65.0      85.0      40.0      546.0     616.0     90.0      
C95       c         62.0      80.0      30.0      274.0     330.0     90.0      
C97       c         60.0      85.0      30.0      645.0     707.0     90.0      
C98       c         58.0      75.0      20.0      181.0     247.0     90.0      
C99       c         55.0      80.0      10.0      836.0     896.0     90.0      

Q xxxxxxxxxxxxxxxxxxxx /79.69/
C xxxxxxxxxxxxxxxxxxxxx /200.0/
r xxxxxxxxxxxxxx /1.0/
g xxxxxxxxxxxxxxxxxxxxxxx /3.39/
v xxxxxxxxxxxxxxx /1.0/
