StringID   Type       x          y          demand     ReadyTime  DueDate    ServiceTime
D0         d          40.0       50.0       0.0        0.0        960.0      0.0
S0         f          40.0       50.0       0.0        0.0        960.0      0.0
S1         f          73.0       52.0       0.0        0.0        960.0      0.0
S3         f          55.0       79.0       0.0        0.0        960.0      0.0
S4         f          69.0       89.0       0.0        0.0        960.0      0.0
S6         f          39.0       96.0       0.0        0.0        960.0      0.0
S8         f          22.0       80.0       0.0        0.0        960.0      0.0
S12        f          -5.0       38.0       0.0        0.0        960.0      0.0
S16        f          48.0       11.0       0.0        0.0        960.0      0.0
S18        f          73.0       23.0       0.0        0.0        960.0      0.0
C1         c          25.0       85.0       20.0       300.0      420.0      10.0
C3         c          22.0       85.0       10.0       338.0      458.0      10.0
C6         c          18.0       75.0       20.0       258.0      378.0      10.0
C8         c          15.0       80.0       10.0       440.0      560.0      10.0
C9         c          10.0       35.0       20.0       654.0      774.0      10.0
C10        c          10.0       40.0       30.0       406.0      526.0      10.0
C11        c          8.0        40.0       40.0       401.0      521.0      10.0
C14        c          5.0        45.0       10.0       198.0      318.0      10.0
C15        c          2.0        40.0       20.0       748.0      868.0      10.0
C17        c          0.0        45.0       20.0       176.0      296.0      10.0
C19        c          42.0       10.0       40.0       41.0       161.0      10.0
C20        c          40.0       5.0        10.0       522.0      642.0      10.0
C22        c          40.0       15.0       40.0       621.0      741.0      10.0
C23        c          38.0       5.0        30.0       269.0      389.0      10.0
C27        c          95.0       35.0       20.0       675.0      795.0      10.0
C29        c          90.0       30.0       10.0       153.0      273.0      10.0
C33        c          85.0       25.0       10.0       766.0      886.0      10.0
C36        c          65.0       85.0       40.0       517.0      637.0      10.0
C38        c          62.0       80.0       30.0       105.0      225.0      10.0
C41        c          58.0       75.0       20.0       257.0      377.0      10.0
C44        c          55.0       60.0       16.0       557.0      677.0      10.0
C49        c          48.0       52.0       10.0       176.0      296.0      10.0
C52        c          25.0       30.0       3.0        553.0      673.0      10.0
C55        c          20.0       25.0       23.0       226.0      346.0      10.0
C57        c          30.0       25.0       23.0       226.0      346.0      10.0
C60        c          45.0       30.0       17.0       628.0      748.0      10.0
C63        c          65.0       20.0       6.0        316.0      436.0      10.0
C66        c          55.0       32.0       12.0       284.0      404.0      10.0
C70        c          35.0       69.0       23.0       398.0      518.0      10.0
C74        c          18.0       25.0       7.0        317.0      437.0      10.0
C78        c          8.0        70.0       12.0       268.0      388.0      10.0
C81        c          68.0       45.0       14.0       248.0      368.0      10.0
C84        c          80.0       70.0       20.0       217.0      337.0      10.0
C90        c          35.0       10.0       25.0       331.0      451.0      10.0
C95        c          52.0       68.0       11.0       573.0      693.0      10.0

Q xxxxxxxxxxxxxxxxxxxx /211.04/
C xxxxxxxxxxxxxxxxxxxxx /1000.0/
r xxxxxxxxxxxxxx /1.0/
g xxxxxxxxxxxxxxxxxxxxxxx /0.14/
v xxxxxxxxxxxxxxx /1.0/
